country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Portugal,Wind,83.0,125.0,190.0,268.0,553.0,1064.0,1681.0,2201.0,2857.0,3326.0,3796.0,4256.0,4412.0,4610.0,4856.0,4937.0
Portugal,Solar,1.0,1.0,1.0,2.0,2.0,2.0,3.0,24.0,59.0,115.0,134.0,172.0,238.0,296.0,415.0,447.0
Romania,Hydropower,6120.0,6122.0,6242.0,6248.0,6278.0,6289.0,6282.0,6331.0,6362.0,6450.0,6474.0,6483.0,6548.0,6610.0,6613.0,6730.0
Romania,Wind,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,15.0,389.0,988.0,1822.0,2773.0,3244.0,3130.0
Romania,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,41.0,761.0,1293.0,1326.0
Slovakia,Hydropower,2420.0,2502.0,2505.0,2507.0,2518.0,2512.0,2513.0,2515.0,2548.0,2487.0,2516.0,2523.0,2522.0,2523.0,2523.0,2522.0
Slovakia,Wind,0.0,0.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0
Slovakia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,496.0,513.0,533.0,533.0,533.0
Slovenia,Hydropower,843.0,906.0,949.0,974.0,974.0,979.0,1009.0,1018.0,1027.0,1070.0,1254.0,1253.0,1254.0,1299.0,1296.0,1295.0
Slovenia,Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0
Slovenia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,57.0,142.0,187.0,223.0,238.0
Spain,Hydropower,17960.0,18032.0,18068.0,18043.0,18167.0,18220.0,18318.0,18372.0,18451.0,18505.0,18535.0,18540.0,18550.0,19185.0,19223.0,20053.0
Spain,Wind,2206.0,3397.0,4891.0,5945.0,8317.0,9918.0,11722.0,14820.0,16555.0,19176.0,20693.0,21529.0,22789.0,22958.0,22975.0,22943.0
Spain,Solar,12.0,16.0,20.0,27.0,37.0,60.0,180.0,750.0,3450.0,3770.0,4653.0,5501.0,6646.0,7085.0,7087.0,7156.0
Sweden,Hydropower,16525.0,16568.0,16232.0,16143.0,16345.0,16345.0,16270.0,16637.0,16437.0,16652.0,16732.0,16577.0,16414.0,16494.0,15996.0,16329.0
Sweden,Wind,209.0,295.0,357.0,399.0,452.0,493.0,516.0,710.0,814.0,1448.0,2019.0,2769.0,3607.0,4194.0,5097.0,5840.0
Sweden,Solar,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,24.0,43.0,60.0,104.0
United Kingdom,Hydropower,4273.0,4417.0,4378.0,4274.0,4287.0,4289.0,4241.0,4266.0,4367.0,4379.0,4391.0,4423.0,4437.0,4453.0,4474.0,4521.0
United Kingdom,Wind,412.0,427.0,534.0,742.0,933.0,1565.0,1955.0,2477.0,3447.0,4420.0,5421.0,6596.0,9030.0,11282.0,13074.0,14316.0
United Kingdom,Solar,2.0,3.0,4.0,6.0,8.0,11.0,14.0,18.0,23.0,27.0,95.0,1000.0,1753.0,2937.0,5528.0,9535.0
