CountryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
616,Poland,4.523,4.8210000000000015,5.008,5.176,5.499,5.777,6.181,6.56,6.852,7.051,6.566,5.855,5.524,5.778,6.0520000000000005,6.227,6.4510000000000005,6.545,6.7879999999999985,6.774,5.972,5.535,5.657,5.853,6.149,6.564,6.952000000000001,7.395,7.732,8.09,8.462,8.573,8.757,9.08,9.557,9.899,10.517,11.26,11.74,12.071,12.507,13.136,13.348,13.537,13.987,14.535,14.968
620,Portugal,8.749,9.277,9.919,10.884,10.848,10.227,10.78,11.229,11.399,11.907,12.338,12.448,12.65,12.586,12.326,12.662,13.189,14.048,15.122,16.109,16.737000000000002,17.432000000000002,17.56,17.123,17.205,17.86,18.408,19.146,19.987,20.683000000000003,21.378,21.701,21.775,21.482,21.786,21.875,22.143,22.63,22.629,21.937,22.371,22.018,21.218000000000004,21.086,21.389,21.889,22.326
642,Romania,2.31,2.5810000000000004,2.824,3.085,3.43,3.747,4.123,4.428,4.709,4.967,5.143,5.12,5.297999999999999,5.597,5.91,5.881,5.992000000000001,6.0139999999999985,5.959,5.599,5.2810000000000015,4.605,4.216,4.302,4.498,4.851,5.074,4.8660000000000005,4.802,4.819,4.97,5.283,5.589,5.932,6.4689999999999985,6.789,7.401,7.987,8.752,8.214,8.219,8.366,8.471,8.815,9.129,9.535,10.044
688,Serbia,,,,,,,,,,,,,,,,,,,,,5.276,4.619,3.286,2.264,2.307,2.4330000000000003,2.499,2.698,2.792,3.15,3.406,3.582,3.839,4.018,4.392,4.65,4.897,5.206,5.509,5.359,5.412000000000001,5.529,5.5,5.669,5.5920000000000005,5.6629999999999985,5.852
703,Slovakia,,,,,,,,,,,,,,,,,,,,,9.646,8.211,7.641,7.76,8.217,8.677,9.247,9.797,10.182,10.157,10.277,10.616,11.095999999999998,11.698,12.314,13.146,14.259,15.799,16.687,15.777,16.561,17.01,17.269000000000002,17.500999999999998,17.957,18.626,19.228
705,Slovenia,,,,,,,,,,,,,,,,,,,,,15.380999999999998,14.002,13.253,13.662,14.427,15.050999999999998,15.599,16.406,16.945,17.835,18.575,19.124,19.858,20.416,21.278,22.076,23.237,24.73,25.407,23.301,23.477,23.534,22.82800000000001,22.507,23.125,23.602,24.309
724,Spain,13.477,13.946,14.911,15.887,16.587,16.491,16.849,17.143,17.219,17.067,17.3,17.152,17.258,17.47,17.702,18.044,18.573,19.553,20.505,21.451,22.214,22.72300000000001,22.869,22.563,23.028,23.588,24.147,24.962,25.932,26.93,28.102,28.882,29.294,29.754,30.202,30.835,31.632,32.34,32.273,30.799,30.59800000000001,30.214,29.362,28.96,29.47,30.563,31.59800000000001
752,Sweden,26.425,26.539,27.04300000000001,28.031,28.84800000000001,29.5,29.718000000000004,29.147,29.562,30.613000000000003,31.072,31.179,31.554,32.142,33.469,34.122,34.926,35.94300000000001,36.672,37.427,37.476,36.798,36.114,35.125,36.347,37.646,38.12,39.182,40.829,42.668,44.646,45.261,46.081,47.019,48.83600000000001,49.94600000000001,51.956,53.333,52.613,49.475,52.00899999999999,52.968,52.401,52.64100000000001,53.599,55.597,57.002
756,Switzerland,49.674,51.264,52.495,53.742,54.27,50.197,49.5,50.817,51.184,52.584,55.029,55.802,54.848,54.89100000000001,56.19300000000001,57.901,58.633,59.218,60.783,62.966,64.735,63.51300000000001,62.793,62.02,62.179,61.968,61.927,63.102,64.77600000000001,65.658,67.969,68.52199999999999,68.243,67.821,69.178,70.726,72.848,75.05199999999998,75.809,73.252,74.538,74.859,74.65899999999998,75.097,76.03,76.12899999999998,76.423
804,Ukraine,,,,,,,,,,,,,,,,,,,,,4.176,3.812,3.4360000000000004,2.9530000000000003,2.283,2.016,1.825,1.784,1.765,1.778,1.901,2.087,2.218,2.449,2.759,2.864,3.099,3.37,3.4610000000000003,2.949,2.97,3.147,3.1710000000000003,3.1860000000000004,2.9930000000000003,2.714,2.79
826,United Kingdom,17.942999999999994,18.51,19.257,20.469,19.934,19.619,20.177,20.664,21.532,22.338,21.884,21.711,22.14,23.06,23.562,24.516,25.234,26.509,27.957,28.595,28.724,28.334,28.363000000000003,29.001,30.04300000000001,30.696,31.379,32.54,33.447,34.404,35.542,36.323,37.091,38.176,38.88,39.816,40.448,40.989,40.36,38.272,38.561,38.811,39.118,39.679,40.655,41.367,41.858
