,countryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10,246,Finland,18.465999999999998,18.782,20.121,21.359,21.897,22.055999999999997,22.096,22.116,22.756999999999998,24.324,25.613000000000003,25.828000000000003,26.487,27.160999999999998,27.885,28.736,29.405,30.353,31.84,33.351,33.449,31.326999999999998,30.13,29.750999999999998,30.769000000000002,31.927,32.979,34.941,36.748000000000005,38.295,40.359,41.301,41.891000000000005,42.614,44.159,45.243,46.911,49.153,49.303000000000004,45.034,46.181000000000004,47.163000000000004,46.286,45.735,45.254,45.067,45.75899999999999
11,250,France,20.090999999999998,20.985,21.74,22.904,23.691,23.299,24.174,24.905,25.807,26.635,26.954,27.124000000000002,27.668000000000003,27.868000000000002,28.136,28.43,28.927,29.491,30.698,31.844,32.588,32.756,33.119,32.763000000000005,33.378,33.915,34.221,34.85,35.91,36.943000000000005,38.173,38.708,38.924,39.02,39.874,40.275999999999996,40.983000000000004,41.695,41.523,40.067,40.629,41.262,41.14,41.191,41.401,41.663999999999994,41.981
12,276,Germany,19.524,20.081,20.914,21.904,22.104,21.926,23.033,23.831999999999997,24.584,25.648000000000003,26.06,26.256999999999998,26.214000000000002,26.679000000000002,27.463,28.096999999999998,28.695,29.017,29.978,31.003,32.466,33.933,34.376999999999995,33.848,34.504,34.97,35.175,35.794000000000004,36.501999999999995,37.236,38.336,38.963,38.927,38.615,39.053000000000004,39.35,40.872,42.306000000000004,42.876000000000005,40.55,42.24100000000001,43.766000000000005,43.91,44.016999999999996,44.742,45.401,46.166000000000004
13,300,Greece,13.597999999999999,14.575,15.952,17.115,15.870999999999999,16.702,17.622,17.884,18.901,19.256,19.159000000000002,18.680999999999997,18.325,18.012,18.271,18.632,18.637,18.135,18.824,19.427,19.285999999999998,19.704,19.634,19.104,19.276,19.49,19.879,20.619,21.287,21.823,22.573,23.416999999999998,24.265,25.61,26.842,26.929000000000002,28.357,29.177,28.98,27.675,26.154,23.814,22.162,21.551,21.82,21.846999999999998,21.86
14,348,Hungary,5.6339999999999995,5.965,6.312,6.729,7.104,7.516,7.739,8.215,8.546,8.642999999999999,8.633,8.887,9.165,9.272,9.566,9.587,9.777999999999999,10.217,10.25,10.357999999999999,10.019,8.861,8.593,8.543,8.796,8.934,8.95,9.27,9.69,10.027999999999999,10.48,10.911,11.435,11.905,12.534,13.120999999999999,13.668,13.770999999999999,13.935,13.057,13.187000000000001,13.447000000000001,13.264000000000001,13.58,14.196,14.718,15.091
15,352,Iceland,16.151,18.026,18.88,19.892,20.759,20.653000000000002,21.663,23.365,24.561999999999998,25.534000000000002,26.746,27.596,27.875999999999998,26.959,27.744,28.328000000000003,29.766,31.953000000000003,31.58,31.328000000000003,31.366999999999997,30.984,29.648000000000003,29.750999999999998,30.535999999999998,30.287,31.44,32.675,34.494,35.542,36.866,37.944,37.741,38.31,40.964,43.137,44.576,47.87,47.708999999999996,43.665,41.553000000000004,41.974,42.21,43.869,44.519,46.092,49.07899999999999
16,372,Ireland,12.460999999999999,12.735,13.366,13.775,14.124,14.675,14.634,15.577,16.437,16.701,16.997,17.371,17.602999999999998,17.428,18.086,18.574,18.461,19.32,20.343,21.537,23.346999999999998,23.750999999999998,24.461,25.000999999999998,26.285999999999998,28.623,30.621,33.475,35.951,39.296,42.458999999999996,44.227,46.226000000000006,46.805,48.975,50.878,52.56,54.107,50.918,47.728,47.968999999999994,49.023999999999994,48.879,49.638999999999996,53.723,67.256,70.325
17,380,Italy,17.733,17.930999999999997,18.465999999999998,19.651,20.604,20.061,21.385,21.837,22.46,23.718000000000004,24.456,24.594,24.635,24.87,25.627,26.31,27.039,27.888,29.051,30.03,30.619,31.076,31.316,31.028000000000002,31.682,32.594,33.028,33.661,34.224000000000004,34.741,35.959,36.461,36.364000000000004,36.203,36.556999999999995,36.708,37.272,37.673,37.159,35.039,35.578,35.765,34.772,34.209,34.295,34.684,35.055
18,412,Kosovo,,,,,,,,,,,,,,,,,,,,,4.8069999999999995,3.451,2.4659999999999997,1.784,1.739,1.868,2.055,2.266,2.147,1.709,1.868,2.424,2.529,2.42,2.4330000000000003,2.557,2.6630000000000003,2.897,3.114,3.236,3.3539999999999996,3.463,3.5639999999999996,3.69,3.737,3.883,4.0280000000000005
19,428,Latvia,,,,,,,,,,,,,,,,,,,,,9.67,8.713,5.7379999999999995,4.956,5.065,5.093999999999999,5.277,5.81,6.247000000000001,6.47,6.888999999999999,7.412999999999999,8.029,8.806000000000001,9.652999999999999,10.812999999999999,12.244000000000002,13.63,13.308,11.532,11.216,12.082,12.728,13.22,13.638,14.19,14.647
20,438,Liechtenstein,72.35300000000001,72.0,71.797,71.663,71.53399999999999,71.328,73.179,75.04899999999999,76.977,79.10300000000001,81.525,84.28399999999999,82.03299999999999,81.704,84.43,89.542,92.22,99.726,104.24600000000001,111.569,107.464,111.906,111.46700000000001,110.555,111.649,112.087,115.355,125.045,131.488,143.025,145.661,142.94,140.076,136.149,139.172,144.819,156.69299999999998,170.183,164.547,146.329,156.127,148.708,149.148,155.264,158.626,158.072,158.928
21,440,Lithuania,,,,,,,,,,,,,,,,,,,,,9.014,8.499,6.709,5.647,5.126,5.327000000000001,5.6370000000000005,6.146,6.65,6.622999999999999,6.931,7.443,8.013,8.936,9.615,10.472000000000001,11.386,12.817,13.34,11.529000000000002,11.886,12.784,13.46,14.116,14.790999999999999,15.245999999999999,15.73
