Country,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,Hydropower,Electricity capacity (MW),13239,13282,13294,13309,13317,13355,13356,13463,13475,13521,13723,13769,13802,13817,13743,13815,14806,15091
,Wind,Electricity capacity (MW),3,5,5,5,9,12,12,12,14,18,42,46,49,60,60,60,75,75
,Solar,Electricity capacity (MW),16,18,20,22,24,28,30,37,49,79,125,223,437,756,1061,1394,1664,1923.9
UK,Hydropower,Electricity capacity (MW),4273,4417,4378,4274,4287,4289,4241,4266,4367,4379,4391,4423,4437,4453,4474,4521,4579,4618
,Wind,Electricity capacity (MW),412,427,534,742,933,1565,1955,2477,3447,4420,5421,6596,9030,11282,13074,14316,16217,19837
,Solar,Electricity capacity (MW),2,3,4,6,8,11,14,18,23,27,95,1000,1753,2937,5528,9535,11899,12760
Ukraine,Hydropower,Electricity capacity (MW),4905,4905,4905,4905,4905,4905,4905,5056,5083,5421,5458,5469,5470,5489,5851,5883,6167,6177
,Wind,Electricity capacity (MW),5,36.23,46.23,54.4,71.4,76.6,76.6,82,83,86,88,146,248,362,513.9,513.9,526,553
,Solar,Electricity capacity (MW),0,0,0,0,0,0,0,0,0,0,2.5,188.2,371.6,748.4,818.9,839,938,1149
European Union,Hydropower,Electricity capacity (MW),139256.1,139729.1,140070.8,140598.9,142464.3,143631.3,143819.5,144648.5,145416.8,146696.8,147875.6,148974.6,149270.1,150395.3,150571.3,152700.3,154228.3,155297
,Wind,Electricity capacity (MW),12718.3,17283.3,23149.6,27995.7,34095.4,40302.25,47543.175,56032.93,63404.9,75290.9,84348.3,93988.3,106165.3,116999,128583,141460,154260.1,168585.9
,Solar,Electricity capacity (MW),179.1,278.1,362.2,599.3,1307.663,2297.989,3297.825,5276.382,10504.9,17186.5,30896.2,53954.1,72983.4,82826.9,89265.5,97366.7,103511.6,108854
