country,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,Hydropower,Electricity capacity (MW),37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Netherlands,Wind,Electricity capacity (MW),447.0,485.0,672.0,905.0,1075.0,1224.0,1558.0,1748.0,2149.0,2222.0,2237.0,2316.0,2433.0,2713.0,2865.0,3391.0,4257.0,4270.0
Netherlands,Solar,Electricity capacity (MW),13.0,21.0,26.0,46.0,50.0,51.0,53.0,54.0,59.0,69.0,90.0,149.0,369.0,746.0,1048.0,1515.0,2049.0,2590.0
Norway,Hydropower,Electricity capacity (MW),28126.0,27679.0,27913.0,27989.0,28030.0,28549.0,28725.0,28957.0,29413.0,29539.0,29693.0,29969.0,30509.0,31033.0,31240.0,31372.0,31834.0,31947.0
Norway,Wind,Electricity capacity (MW),13.0,13.0,97.0,97.0,152.0,265.0,284.0,348.0,395.0,423.0,425.0,512.0,705.0,818.0,863.0,867.0,883.0,1207.0
Norway,Solar,Electricity capacity (MW),6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.3,8.7,9.1,9.5,10.0,11.0,13.0,15.0,26.7,42.2
Poland,Hydropower,Electricity capacity (MW),2183.0,2234.0,2207.0,2273.0,2282.0,2321.0,2331.0,2328.0,2335.0,2338.0,2342.0,2346.0,2351.0,2355.0,2364.0,2370.0,2386.0,2381.5
Poland,Wind,Electricity capacity (MW),4.0,19.0,32.0,35.0,40.0,121.0,172.0,306.0,526.0,709.0,1108.0,1800.0,2564.0,3429.0,3836.0,4886.0,5747.0,5797.8
Poland,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,27.0,108.0,187.0,268.3
Portugal,Hydropower,Electricity capacity (MW),4535.0,4560.0,4583.0,4583.0,4831.0,5017.0,5053.0,5061.0,5058.0,5091.0,5106.0,5535.0,5712.0,5661.0,5715.0,6168.0,6960.0,7221.0
Portugal,Wind,Electricity capacity (MW),83.0,125.0,190.0,268.0,553.0,1064.0,1681.0,2201.0,2857.0,3326.0,3796.0,4256.0,4412.0,4610.0,4856.0,4937.0,5123.0,5123.0
Portugal,Solar,Electricity capacity (MW),1.0,1.0,1.0,2.0,2.0,2.0,3.0,24.0,59.0,115.0,134.0,172.0,238.0,296.0,415.0,447.0,462.0,476.0
Romania,Hydropower,Electricity capacity (MW),6120.0,6122.0,6242.0,6248.0,6278.0,6289.0,6282.0,6331.0,6362.0,6450.0,6474.0,6483.0,6548.0,6610.0,6613.0,6730.0,6734.0,6754.0
Romania,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,15.0,389.0,988.0,1822.0,2773.0,3244.0,3130.0,3025.0,3030.0
Romania,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,41.0,761.0,1293.0,1326.0,1372.0,1378.0
Serbia,Hydropower,Electricity capacity (MW),2887.1,2887.1,2887.1,2887.1,2887.1,2887.1,2818.0,2818.0,2818.0,2829.8,2831.5,2849.4,2879.3,2931.0,3017.0,3022.0,3030.0,3119.0
Serbia,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,10.0,17.0,25.0
Serbia,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.2,1.3,1.5,3.1,4.7,6.0,9.0,11.0,12.0
Slovakia,Hydropower,Electricity capacity (MW),2420.0,2502.0,2505.0,2507.0,2518.0,2512.0,2513.0,2515.0,2548.0,2487.0,2516.0,2523.0,2522.0,2523.0,2523.0,2522.0,2524.0,2524.0
Slovakia,Wind,Electricity capacity (MW),0.0,0.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0
Slovakia,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,496.0,513.0,533.0,533.0,533.0,533.0,533.0
Slovenia,Hydropower,Electricity capacity (MW),843.0,906.0,949.0,974.0,974.0,979.0,1009.0,1018.0,1027.0,1070.0,1254.0,1253.0,1254.0,1299.0,1296.0,1295.0,1293.0,1338.3
Slovenia,Wind,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0
Slovenia,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,57.0,142.0,187.0,223.0,238.0,233.0,236.4
Spain,Hydropower,Electricity capacity (MW),17960.0,18032.0,18068.0,18043.0,18167.0,18220.0,18318.0,18372.0,18451.0,18505.0,18535.0,18540.0,18550.0,19185.0,19223.0,20053.0,20056.0,20034.0
Spain,Wind,Electricity capacity (MW),2206.0,3397.0,4891.0,5945.0,8317.0,9918.0,11722.0,14820.0,16555.0,19176.0,20693.0,21529.0,22789.0,22958.0,22975.0,22943.0,23003.0,22988.0
Spain,Solar,Electricity capacity (MW),12.0,16.0,20.0,27.0,37.0,60.0,180.0,750.0,3450.0,3770.0,4653.0,5501.0,6646.0,7085.0,7087.0,7156.0,7273.0,7278.0
Sweden,Hydropower,Electricity capacity (MW),16525.0,16568.0,16232.0,16143.0,16345.0,16345.0,16270.0,16637.0,16437.0,16652.0,16732.0,16577.0,16414.0,16494.0,15996.0,16329.0,16466.0,16494.0
Sweden,Wind,Electricity capacity (MW),209.0,295.0,357.0,399.0,452.0,493.0,516.0,710.0,814.0,1448.0,2019.0,2769.0,3607.0,4194.0,5097.0,5840.0,6434.0,6631.0
Sweden,Solar,Electricity capacity (MW),3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,24.0,43.0,60.0,104.0,153.0,233.0
Switzerland,Hydropower,Electricity capacity (MW),13239.0,13282.0,13294.0,13309.0,13317.0,13355.0,13356.0,13463.0,13475.0,13521.0,13723.0,13769.0,13802.0,13817.0,13743.0,13815.0,14806.0,15091.0
Switzerland,Wind,Electricity capacity (MW),3.0,5.0,5.0,5.0,9.0,12.0,12.0,12.0,14.0,18.0,42.0,46.0,49.0,60.0,60.0,60.0,75.0,75.0
Switzerland,Solar,Electricity capacity (MW),16.0,18.0,20.0,22.0,24.0,28.0,30.0,37.0,49.0,79.0,125.0,223.0,437.0,756.0,1061.0,1394.0,1664.0,1923.9
UK,Hydropower,Electricity capacity (MW),4273.0,4417.0,4378.0,4274.0,4287.0,4289.0,4241.0,4266.0,4367.0,4379.0,4391.0,4423.0,4437.0,4453.0,4474.0,4521.0,4579.0,4618.0
UK,Wind,Electricity capacity (MW),412.0,427.0,534.0,742.0,933.0,1565.0,1955.0,2477.0,3447.0,4420.0,5421.0,6596.0,9030.0,11282.0,13074.0,14316.0,16217.0,19837.0
UK,Solar,Electricity capacity (MW),2.0,3.0,4.0,6.0,8.0,11.0,14.0,18.0,23.0,27.0,95.0,1000.0,1753.0,2937.0,5528.0,9535.0,11899.0,12760.0
Ukraine,Hydropower,Electricity capacity (MW),4905.0,4905.0,4905.0,4905.0,4905.0,4905.0,4905.0,5056.0,5083.0,5421.0,5458.0,5469.0,5470.0,5489.0,5851.0,5883.0,6167.0,6177.0
Ukraine,Wind,Electricity capacity (MW),5.0,36.23,46.23,54.4,71.4,76.6,76.6,82.0,83.0,86.0,88.0,146.0,248.0,362.0,513.9,513.9,526.0,553.0
Ukraine,Solar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,188.2,371.6,748.4,818.9,839.0,938.0,1149.0
European Union,Hydropower,Electricity capacity (MW),139256.1,139729.1,140070.8,140598.9,142464.3,143631.3,143819.5,144648.5,145416.8,146696.8,147875.6,148974.6,149270.1,150395.3,150571.3,152700.3,154228.3,155297.0
European Union,Wind,Electricity capacity (MW),12718.3,17283.3,23149.6,27995.7,34095.4,40302.25,47543.175,56032.93,63404.9,75290.9,84348.3,93988.3,106165.3,116999.0,128583.0,141460.0,154260.1,168585.9
European Union,Solar,Electricity capacity (MW),179.1,278.1,362.2,599.3,1307.663,2297.989,3297.825,5276.382,10504.9,17186.5,30896.2,53954.1,72983.4,82826.9,89265.5,97366.7,103511.6,108854.0
