Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
96,Brunei Darussalam,1.736,1.828,2.394,3.662,8.693,9.076,10.625,12.452,13.454,18.766,31.918,27.408,25.983,22.763,21.770,19.712,11.683,13.045,12.065,13.153,15.073,15.402,16.925,16.147,15.643,17.650,18.603,18.453,14.058,15.620,19.955,18.247,18.666,20.561,24.262,28.923,34.328,36.202,42.053,30.988,35.267,47.016,47.651,44.598,41.529,30.968,26.939
100,Bulgaria,1.058,1.040,1.209,1.434,1.551,1.363,1.439,1.467,1.584,1.063,1.221,1.396,1.513,1.623,1.735,1.837,1.953,2.127,2.449,2.472,2.344,958,1.092,1.391,1.262,1.723,1.219,1.363,1.798,1.674,1.645,1.775,2.069,2.689,3.352,3.857,4.476,5.869,7.245,6.959,6.835,7.806,7.373,7.674,7.855,6.994,7.465
854,Burkina Faso,80,80,101,114,124,145,136,161,203,267,283,256,230,205,178,203,259,294,316,308,356,350,365,338,195,238,252,232,258,267,227,237,261,332,371,407,421,475,570,553,575,667,674,700,704,575,627
108,Burundi,71,72,70,85,96,113,122,142,157,198,231,235,241,249,220,249,255,233,212,214,212,211,192,169,182,168,144,159,144,129,111,101,93,86,95,150,166,171,196,209,232,247,250,255,274,276,273
132,Cabo Verde,270,301,340,421,423,492,457,425,484,512,564,544,538,519,485,497,677,827,915,911,1.025,1.044,1.135,1.114,1.227,1.434,1.440,1.375,1.433,1.592,1.410,1.443,1.562,2.012,2.248,2.329,2.621,3.112,3.639,3.445,3.313,3.670,3.408,3.559,3.530,2.995,3.038
116,Cambodia,110,108,104,87,89,96,103,96,106,103,107,116,120,126,132,137,141,171,199,200,189,242,249,244,259,311,319,305,270,296,302,322,339,363,409,474,540,632,746,738,786,882,950,1.028,1.099,1.163,1.270
120,Cameroon,202,220,277,366,381,486,515,586,749,968,1.171,1.066,1.037,1.050,1.002,955,1.132,1.196,1.133,1.013,1.094,1.021,1.011,1.040,587,716,748,697,732,728,658,665,732,892,1.006,1.030,1.081,1.216,1.397,1.339,1.309,1.430,1.381,1.494,1.571,1.354,1.374
124,Canada,4.097,4.553,5.104,5.836,7.023,7.507,8.807,8.914,9.105,10.012,11.161,12.352,12.519,13.462,13.897,14.098,14.402,16.233,18.827,20.678,21.448,21.762,20.870,20.103,19.917,20.594,21.219,21.831,20.937,22.200,24.151,23.736,24.199,28.216,32.025,36.218,40.295,44.366,46.373,40.579,47.221,51.787,52.271,52.265,50.355,43.194,42.154
136,Cayman Islands,2.578,3.081,3.873,4.750,5.202,5.827,6.536,7.336,8.262,9.357,10.667,12.250,14.137,19.100,20.739,21.544,22.570,25.038,28.951,31.421,37.181,37.037,37.556,38.596,39.938,40.930,41.940,43.031,53.254,54.738,54.630,53.936,54.464,54.898,56.274,62.559,64.101,68.295,67.031,61.481,58.859,59.191,59.282,59.593,61.332,62.264,63.261
140,Central African Republic,151,158,177,204,208,274,319,351,412,461,510,443,404,345,321,344,435,456,471,449,513,478,477,421,273,348,307,279,281,284,255,254,265,300,328,342,366,410,468,461,457,506,498,348,389,359,394
148,Chad,98,104,106,114,130,184,169,168,196,174,175,201,184,192,202,194,232,255,289,264,308,296,299,252,198,235,254,234,258,216,189,224,251,331,517,664,715,779,932,819,824,943,1.102,1.051,1.082,835,780
152,Chile,1.012,1.189,1.261,1.766,1.684,771,1.036,1.383,1.569,2.081,2.727,3.220,2.266,1.840,1.796,1.559,1.648,1.892,2.171,2.435,2.637,2.965,3.528,3.689,4.161,5.253,5.446,5.873,5.556,5.045,5.134,4.626,4.487,4.816,6.214,7.615,9.485,10.527,10.781,10.243,12.860,14.706,15.432,15.941,14.817,13.653,13.794
156,China,109,115,126,152,155,172,163,179,223,268,307,289,280,297,301,292,278,297,364,400,340,349,412,512,461,594,694,767,815,860,947,1.041,1.138,1.279,1.496,1.747,2.087,2.672,3.425,3.788,4.461,5.501,6.232,6.968,7.578,8.036,7.993
344,"China, Hong Kong SAR",984,1.133,1.428,1.977,2.268,2.372,2.956,3.496,3.942,4.703,5.872,6.186,6.322,5.769,6.373,6.688,7.572,9.177,10.644,12.070,13.306,15.196,17.616,20.115,22.429,23.559,25.588,27.901,26.087,25.194,25.762,25.200,24.610,23.794,24.858,26.593,28.211,30.673,31.595,30.652,32.545,35.171,36.957,38.567,40.511,42.702,43.943
446,"China, Macao SAR",676,802,982,1.350,1.571,1.839,1.849,2.390,3.147,3.580,4.233,4.372,4.500,4.297,4.751,4.756,5.132,6.297,7.072,8.060,9.365,10.558,13.461,15.190,16.578,18.139,18.097,17.958,16.451,15.505,15.703,15.548,16.313,17.810,22.453,25.059,29.980,36.403,40.668,40.881,52.375,66.813,76.497,89.525,94.004,75.485,74.018
170,Colombia,462,489,531,614,721,748,856,1.062,1.240,1.457,1.702,1.813,1.897,1.844,1.782,1.590,1.560,1.590,1.681,1.662,1.661,1.669,1.755,1.995,2.588,2.946,3.044,3.291,2.994,2.584,2.472,2.396,2.356,2.245,2.740,3.386,3.709,4.674,5.434,5.148,6.251,7.228,7.885,8.031,7.913,6.045,5.806
174,Comoros,163,177,204,267,294,444,424,452,564,727,841,754,686,695,652,675,931,1.093,1.121,1.042,1.241,1.213,1.271,1.222,837,1.016,983,880,871,877,778,820,897,1.127,1.276,1.287,1.335,1.482,1.631,1.587,1.549,1.627,1.589,1.699,1.728,1.421,1.445
178,Congo,192,213,248,321,376,430,433,419,506,668,927,1.052,1.107,1.044,1.061,1.016,845,1.022,957,1.021,1.147,1.087,1.138,1.014,653,756,882,784,631,751,998,843,886,998,1.289,1.637,2.012,1.870,2.473,2.195,2.800,3.279,2.947,2.951,2.890,1.700,1.517
184,Cook Islands,478,476,498,652,779,782,758,910,1.094,1.284,1.447,1.507,1.512,1.487,1.534,1.591,2.037,2.574,3.257,3.268,3.624,3.914,4.006,4.442,5.247,5.588,5.677,5.288,4.681,5.059,5.056,5.252,5.946,7.979,9.142,9.262,9.538,11.682,12.151,11.379,13.758,15.682,16.788,16.972,18.056,16.350,16.698
188,Costa Rica,677,722,809,974,1.036,1.189,1.426,1.770,1.977,2.206,2.572,1.360,1.315,1.545,1.750,1.827,2.000,2.007,1.993,2.201,2.345,2.257,2.618,2.855,3.045,3.278,3.231,3.408,3.614,3.688,3.808,3.982,4.062,4.168,4.425,4.697,5.245,6.121,6.911,6.809,8.199,9.187,9.985,10.570,10.647,11.406,11.825
384,Côte d'Ivoire,286,291,326,422,487,589,673,864,1.042,1.152,1.227,973,837,725,696,683,862,915,898,905,969,907,914,819,590,764,810,759,796,771,640,657,711,866,920,932,952,1.066,1.242,1.218,1.220,1.228,1.251,1.424,1.567,1.421,1.552
191,Croatia,,,,,,,,,,,,,,,,,,,,,3.479,2.847,2.585,2.761,3.726,4.849,5.176,5.256,5.662,5.248,4.917,5.283,6.115,7.897,9.483,10.374,11.540,13.773,16.187,14.429,13.823,14.461,13.165,13.578,13.536,11.668,12.159
192,Cuba,653,780,901,1.088,1.224,1.380,1.445,1.474,1.837,2.003,2.025,2.039,2.111,2.228,2.400,2.273,2.383,2.455,2.645,2.577,2.707,2.280,2.058,2.072,2.622,2.790,2.282,2.303,2.326,2.553,2.741,2.832,2.994,3.193,3.391,3.779,4.669,5.184,5.376,5.485,5.676,6.122,6.426,6.760,7.050,7.609,7.815
531,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.120,18.632,19.143,20.278,19.934,19.994,20.178,20.467,20.321,20.180,19.948,19.586
196,Cyprus,1.004,1.162,1.397,1.681,1.818,1.571,1.832,2.337,3.045,3.961,4.750,4.527,4.643,4.589,4.767,5.011,6.329,7.501,8.563,9.015,10.802,10.860,12.680,11.801,13.013,15.265,15.154,14.225,15.083,15.283,14.364,14.816,16.042,20.240,23.773,25.311,27.172,31.353,35.392,32.104,30.817,32.236,28.985,27.944,27.400,23.231,23.631
203,Czech Republic,,,,,,,,,,,,,,,,,,,,,3.899,2.857,3.338,3.905,4.571,5.748,6.451,5.960,6.429,6.279,5.974,6.560,7.969,9.698,11.619,13.257,15.072,18.232,22.564,19.618,19.648,21.568,19.588,19.765,19.608,17.619,18.406
200,Czechoslovakia (Former),1.135,1.181,1.346,1.580,1.682,1.842,1.802,2.563,2.802,2.992,3.116,3.297,3.315,3.286,2.967,2.963,3.473,3.892,3.839,3.758,3.653,,,,,,,,,,,,,,,,,,,,,,,,,,
408,D.P.R. of Korea,386,415,446,480,518,561,574,589,605,622,638,652,807,793,744,722,805,836,764,811,735,663,593,503,384,222,479,462,456,452,462,476,468,471,473,548,575,597,551,494,570,638,643,666,696,648,665
180,D.R. of the Congo,239,259,279,346,411,426,390,485,669,638,593,511,497,412,242,252,283,235,261,429,434,395,348,437,229,215,214,215,220,191,177,173,175,174,194,219,256,287,328,299,334,387,425,458,487,498,512
208,Denmark,3.463,3.847,4.655,6.125,6.776,7.995,8.773,9.767,11.813,13.747,13.881,12.073,11.792,11.846,11.553,12.252,17.221,21.381,22.558,21.911,26.891,27.008,29.568,27.587,29.966,35.356,35.707,32.881,33.392,33.441,30.734,30.756,33.248,40.486,46.527,48.779,51.960,58.396,64.273,58.128,57.967,61.618,58.308,60.943,62.323,52.964,53.730
